sic,knowDepr,organDepr,gamma,industry5
5651,.43,.2,.2,"Consumer"
3613,.5,.2,.21,"Manuf."
2421,.35,.2,.22,"Other"
3390,.5,.2,.21,"Manuf."
3950,.43,.2,.2,"Consumer"
5141,.43,.2,.2,"Consumer"
4210,.35,.2,.22,"Other"
7374,.42,.2,.37,"High-tech"
5140,.43,.2,.2,"Consumer"
4932,.5,.2,.21,"Manuf."
4924,.5,.2,.21,"Manuf."
3911,.43,.2,.2,"Consumer"
3760,.5,.2,.21,"Manuf."
1000,.35,.2,.22,"Other"
7384,.35,.2,.22,"Other"
